player,playerid,strike
ricardesmatias82,76561199086652601,1
nclavigueur,76561199065075728,1
KaijuZilla,76561199868706534,1
Sgt Doran,76561199125958722,1
ThatBrokenPC,76561198983434337,1
Something,76561199521637425,3
Jackson,76561199101526968,1
minigrass,76561199754427539,1
king_edward_1012,76561198983356429,1
pro100dd,76561199879734805,5
tornadochasingsiege,76561199065174905,3
Leako11,76561199568077642,2
max,76561199853748824,3
kingofshirts,76561199813311590,1
Winzy,76561199535465108,2
slaysee,76561199190698393,2
paozan,76561199824921749,1
1990 Chevy Silverado,76561199487391351,1
catfishclone,76561199229603998,1
jayrencaballero31,76561199451479493,1
lucashley2,76561199197719025,3
MaddlyJK,76561198421110965,2
ApocalypseDude,76561198121911697,2
david_white,76561199395394289,2
lewis,76561197993335359,1
RunicPagan,76561198014592707,2
Durito,76561198161840816,1
Yotaswamper,76561199770654363,1
tlaboys86,76561199311964977,2
jason,76561199262695027,3
maxgordon1008,76561199573099091,2
TheResidentShitter,76561199216250703,2
Dreadnought,76561199572784069,1
Fedex_68,76561199405614739,1
camo13310,76561198027689565,2
неудрочимый,76561199735763967,1
faulknercaden300,76561199824931458,1
dls04242014,76561199812838396,1
Nori,76561198991001250,1
JoJo Siwa\'s Bath Wat,76561198294366178,1
the mmooon1,76561199107345607,2
Yurtlurtle,76561199846917669,2
whatsgoingtohappen12,76561198352716468,1
Big Blu,76561199575812206,4
Arkxem,76561199069704750,2
jovita.jonas,76561199154410880,2
oif2medic3,76561198194921026,3
kaydenmdjones0719,76561199879511755,1
GC45,76561198031352005,2
FollowZeRabbit,76561198119864470,3
Xcreeper2019,76561198931115597,5
beniandresortiz,76561199502543697,1
ツchipsyツ,76561198840147214,2
pyro,76561199812149540,3
skshus,76561198974865653,2
globaltechnologyinit,76561198180729705,2
Lil Mustee,76561199687847575,1
farticus34,76561199850700177,2
Mr yeet,76561198887657121,1
toothyshark3,76561199854156753,3
dragon-slayer123,76561199066098986,3
jesustrain2013,76561199873575339,1
dames,76561198318545267,1
your_pal.,76561199115641220,4
Inxects,76561198409609161,1
jeremylopez.91231254,76561199641813722,1
butterthetoaster,76561199637153174,1
Beta_7,76561199213008104,2
STAR_CRIM_TOP,76561198852065137,1
moshiko,76561199158650605,2
Palms,76561198161643891,5
palmers5045,76561199260635914,1
ethan_smit,76561199834468094,3
S1mple,76561199804020967,1
a9630711,76561199501740718,2
depre,76561199579902173,12
vo_ek,76561199105868811,2
Ptysiu,76561199562208624,4
TheCroc,76561199149261366,1
76561199428343141,76561199428343141,4
Jan-PL,76561199180864444,3
Werri096,76561199257904907,2
skidmark185,76561199013278750,5
lok6777,76561199098594977,1
kubus28041234,76561199759879416,1
Neox,76561199158630206,1
madxx,76561198148643162,1
轩仔儿,76561199745516685,2
mobarikimobark,76561199842989171,2
machine,76561199122450967,3
Georgiajqck,76561199811872955,2
tslea20,76561199339955052,1
Air Wolf,76561199808544186,2
MilkyMikuu,76561198272112725,1
robbievann123,76561198900230576,1
ezman2012,76561199775992730,1
GreatBritishAirways,76561199878938853,2
r.xbox,76561199119731509,1
boomba,76561199500656188,1
JJ,76561199191617114,1
MakVertigo,76561198965591251,1
ilikecars155,76561199837412492,1
Stomp On Burning Duc,76561198045608426,6
gigglenamedidk,76561198867297865,3
degocoolboy123,76561199401506802,4
alragin,76561199551512125,2
Lost Signal,76561198860719424,1
SKOLZKIY,76561198261158349,2
不破美帝终不还,76561198324809786,1
Старый ИИ URF.IM,76561199214108446,1
The Texan R3tar,76561199652117294,1
SKULLkid1623,76561199770438678,1
finniesseejoli,76561199411347276,5
EwItsAJ,76561199803778306,1
SJ,76561199138620739,1
xXGamer008,76561199250119447,9
rodzz,76561199566033063,3
-PARKER_07-,76561198378544842,1
